City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
668,Kolpashevo,RU,61.86,clear sky,58.3131,82.9089,Gostinitsa Legenda
673,Zambrow,PL,68.2,overcast clouds,52.9855,22.2432,Pokoje Gościnne Amader
678,Yambio,SS,68.41,broken clouds,4.5721,28.3955,Naivasha Hotel
680,Strezhevoy,RU,62.58,overcast clouds,60.7333,77.5889,Sibiryachka
687,Havre-Saint-Pierre,CA,64.76,clear sky,50.2334,-63.5986,Auberge Niapiskau
690,Tobol,KZ,63.77,overcast clouds,52.6844,62.5794,Tobol Gostinitsa
695,College,US,62.26,scattered clouds,64.8569,-147.8028,Pike's Waterfront Lodge
696,Ayr,GB,67.98,clear sky,55.4627,-4.6339,Mercure Ayr Hotel
699,Lulea,SE,62.67,clear sky,65.5842,22.1547,Comfort Hotel Arctic
700,Kinsale,IE,63.77,broken clouds,51.7075,-8.5306,Actons Hotel Kinsale
701,Roald,NO,62.91,mist,62.5833,6.1333,Flem Cabins
704,Fort Nelson,CA,69.39,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
