City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Quelimane,MZ,2021-07-20 22:15:16,-17.8786,36.8883,67.95,88,75,0.0
162,Jiuquan,CN,2021-07-20 22:15:16,39.7432,98.5174,67.57,55,100,4.45
163,Oranjemund,NA,2021-07-20 22:15:16,-28.55,16.4333,51.22,72,0,11.45
164,Paracuru,BR,2021-07-20 22:15:17,-3.41,-39.0306,80.62,78,9,13.09
165,Norman Wells,CA,2021-07-20 22:15:17,65.282,-126.8329,80.64,39,20,18.41
166,Zempoala,MX,2021-07-20 22:15:17,19.45,-96.4167,87.91,63,20,8.39
167,Talnakh,RU,2021-07-20 22:15:18,69.4865,88.3972,51.26,77,0,3.69
168,East London,ZA,2021-07-20 22:14:20,-33.0153,27.9116,57.33,75,100,23.11
169,Chokurdakh,RU,2021-07-20 22:15:18,70.6333,147.9167,52.72,81,92,13.0
170,Mahebourg,MU,2021-07-20 22:15:19,-20.4081,57.7,71.26,64,75,17.27
171,Lasa,IT,2021-07-20 22:15:19,46.6166,10.7002,68.88,74,1,3.71
172,Qaanaaq,GL,2021-07-20 22:15:19,77.484,-69.3632,40.28,74,97,4.21
173,Codrington,AU,2021-07-20 22:15:20,-38.2667,141.9667,49.57,77,100,9.6
174,Kalinino,RU,2021-07-20 22:15:20,59.6167,42.25,55.42,74,37,4.72
175,Bonthe,SL,2021-07-20 22:15:20,7.5264,-12.505,77.16,84,100,11.41
176,Vajszlo,HU,2021-07-20 22:15:21,45.8596,17.9841,67.08,67,0,6.49
177,Samokov,BG,2021-07-20 22:15:21,42.3333,23.55,63.1,91,13,4.52
178,Severo-Yeniseyskiy,RU,2021-07-20 22:15:21,60.3725,93.0408,54.57,70,100,3.2
179,Teknaf,BD,2021-07-20 22:15:22,20.8624,92.3058,78.53,90,91,4.79
180,Graham,US,2021-07-20 22:14:20,47.0529,-122.2943,74.98,52,20,0.0
181,Orlik,RU,2021-07-20 22:15:22,52.5178,99.825,53.65,93,100,0.6
182,Saldanha,ZA,2021-07-20 22:15:23,-33.0117,17.9442,53.98,55,28,9.71
183,Cururupu,BR,2021-07-20 22:15:23,-1.8283,-44.8683,75.49,90,20,2.8
184,Tazovskiy,RU,2021-07-20 22:15:23,67.4667,78.7,50.25,79,5,9.22
185,Bandarbeyla,SO,2021-07-20 22:15:23,9.4942,50.8122,76.05,82,60,30.04
186,Torbay,CA,2021-07-20 22:15:24,47.6666,-52.7314,71.76,95,90,12.66
187,Lensk,RU,2021-07-20 22:15:24,60.7253,114.9278,60.42,86,89,2.82
188,Natal,BR,2021-07-20 22:15:25,-5.795,-35.2094,77.65,83,20,6.91
189,Houma,US,2021-07-20 22:15:25,29.5958,-90.7195,86.0,88,40,0.0
190,Bonavista,CA,2021-07-20 22:15:25,48.6499,-53.1147,66.2,99,100,12.12
191,La Ronge,CA,2021-07-20 22:15:26,55.1001,-105.2842,70.02,60,90,4.61
192,Santa Maria,BR,2021-07-20 22:15:26,-29.6842,-53.8069,50.05,67,91,0.96
